,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Avarua,32,CK,1578070725,100,-21.21,-159.78,293.15,0.5
1,Ushuaia,40,AR,1578070610,43,-54.81,-68.31,286.15,4.1
2,Mar del Plata,79,AR,1578070324,20,-46.43,-67.52,303.89,18.06
3,Broome,34,GB,1578070613,86,52.47,1.45,279.26,3.1
4,Samarai,86,PG,1578070725,89,-10.62,150.67,297.91,0.86
5,Barrow,0,AR,1578070725,24,-38.31,-60.23,304.0,5.3
6,Codrington,0,AU,1578070726,88,-28.95,153.24,294.15,2.6
7,Kaeo,45,NZ,1578070726,100,-35.1,173.78,287.59,6.44
8,Savelugu,51,GH,1578070726,10,9.63,-0.83,300.38,3.16
9,Atuona,0,PF,1578070615,71,-9.8,-139.03,300.13,6.06
10,Mount Gambier,10,AU,1578070613,72,-37.83,140.78,292.15,4.6
11,Marfino,40,RU,1578070726,91,56.07,37.56,274.26,6.0
12,Port Alfred,100,ZA,1578070729,97,-33.59,26.89,293.71,1.79
13,Kulhudhuffushi,0,MV,1578070729,80,6.62,73.07,300.89,5.41
14,Rikitea,100,PF,1578070729,80,-23.12,-134.97,298.92,3.93
15,Hamilton,90,CA,1578070619,93,43.26,-79.87,281.48,2.1
16,Mogadishu,59,SO,1578070729,82,2.04,45.34,300.59,10.68
17,Albany,90,US,1578070404,56,42.65,-73.75,281.48,3.6
18,Kidal,14,ML,1578070730,25,18.44,1.41,288.1,5.58
19,Bluff,12,AU,1578070612,84,-23.58,149.07,293.33,4.12
20,Jamestown,0,AU,1578070610,68,-33.21,138.6,291.88,9.4
21,Cherskiy,9,RU,1578070611,65,68.75,161.3,256.13,4.94
22,Maun,20,BW,1578070730,41,-19.99,23.42,307.15,1.0
23,Byron Bay,3,AU,1578070730,83,-28.65,153.62,294.82,2.1
24,Qaanaaq,100,GL,1578070613,91,77.48,-69.36,234.37,3.23
25,Chuy,30,UY,1578070724,57,-33.69,-53.46,297.67,6.69
26,Nome,75,US,1578070730,88,30.04,-94.42,292.15,1.5
27,Henties Bay,38,NA,1578070730,83,-22.12,14.28,291.48,1.79
28,Khatanga,100,RU,1578070730,98,71.98,102.47,253.1,3.07
29,Hilo,1,US,1578070731,77,19.71,-155.08,292.15,3.1
30,Batticaloa,8,LK,1578070731,94,7.71,81.69,296.71,0.77
31,Northam,0,AU,1578070731,44,-31.65,116.67,288.15,4.1
32,Saskylakh,44,RU,1578070612,94,71.97,114.09,243.84,3.19
33,Foso,70,GH,1578070731,39,5.7,-1.29,300.0,3.04
34,Richards Bay,83,ZA,1578070731,85,-28.77,32.06,299.16,9.61
35,Makinsk,98,KZ,1578070731,98,52.63,70.42,259.57,3.9
36,Ahipara,52,NZ,1578070731,100,-35.17,173.16,286.48,10.23
37,Nikolskoye,90,RU,1578070614,80,59.7,30.79,278.15,8.0
38,Butaritari,100,KI,1578070612,80,3.07,172.79,301.37,5.49
39,Hobart,98,AU,1578070507,59,-42.88,147.33,291.15,6.2
40,Luderitz,0,NA,1578070731,81,-26.65,15.16,291.48,14.76
41,Gondar,75,PT,1578070732,93,41.82,-8.78,288.15,1.5
42,Hithadhoo,40,MV,1578070732,68,-0.6,73.08,301.71,1.95
43,Katsuura,20,JP,1578070732,61,33.93,134.5,281.15,4.1
44,Vila Franca do Campo,20,PT,1578070732,77,37.72,-25.43,290.15,4.1
45,Araouane,19,ML,1578070732,16,18.9,-3.53,290.57,4.7
46,Tasiilaq,40,GL,1578070732,48,65.61,-37.64,265.15,12.3
47,Mezen,100,RU,1578070732,98,65.85,44.24,274.77,7.0
48,Lazurne,98,UA,1578070732,86,46.77,34.99,276.17,3.45
49,Sola,94,TZ,1578070732,72,-3.17,33.8,294.11,2.15
50,Acapulco,40,MX,1578070792,65,16.86,-99.88,300.15,2.28
